error_train,error_test,accuracy_train,accuracy_test,time,mutation_prob
0.2521505376344086,0.22007168458781362,0.7478494623655914,0.7799283154121864,4.305170189996716,0.1
0.2611111111111111,0.24516129032258063,0.7388888888888889,0.7548387096774194,4.912447917013196,0.1090909090909091
0.2614695340501792,0.23440860215053763,0.7385304659498207,0.7655913978494624,3.9564354400063166,0.1181818181818182
0.27114695340501793,0.24372759856630824,0.7288530465949821,0.7562724014336918,3.955507963997661,0.1272727272727273
0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,4.352028016000986,0.13636363636363635
0.26057347670250897,0.2537634408602151,0.739426523297491,0.7462365591397849,4.425064837996615,0.14545454545454545
0.2543010752688172,0.25161290322580643,0.7456989247311828,0.7483870967741936,4.064035252988106,0.15454545454545454
0.24731182795698925,0.24229390681003585,0.7526881720430108,0.7577060931899642,6.061663430999033,0.16363636363636364
0.260752688172043,0.24444444444444444,0.739247311827957,0.7555555555555555,7.822969663990079,0.17272727272727273
0.2616487455197133,0.26523297491039427,0.7383512544802867,0.7347670250896058,5.613520771992626,0.18181818181818182
0.26093189964157704,0.23942652329749103,0.739068100358423,0.760573476702509,4.188363920009579,0.19090909090909092
0.2675627240143369,0.24516129032258063,0.7324372759856631,0.7548387096774194,4.548927305004327,0.2
0.2568100358422939,0.23655913978494625,0.7431899641577061,0.7634408602150538,6.212696267000865,0.2090909090909091
0.2492831541218638,0.23297491039426524,0.7507168458781363,0.7670250896057348,8.90782338900317,0.2181818181818182
0.24551971326164876,0.25806451612903225,0.7544802867383512,0.7419354838709677,4.076279218992568,0.22727272727272727
0.25967741935483873,0.25734767025089605,0.7403225806451613,0.7426523297491039,6.101954430996557,0.23636363636363636
0.24157706093189965,0.24014336917562723,0.7584229390681003,0.7598566308243727,4.7495437059988035,0.24545454545454545
0.221505376344086,0.21577060931899641,0.7784946236559139,0.7842293906810036,11.652099835002446,0.2545454545454545
0.23745519713261648,0.24802867383512545,0.7625448028673835,0.7519713261648745,4.839231244986877,0.26363636363636367
0.25555555555555554,0.2623655913978495,0.7444444444444445,0.7376344086021506,4.247795983988908,0.2727272727272727
0.2668458781362007,0.25806451612903225,0.7331541218637992,0.7419354838709677,4.550416946003679,0.28181818181818186
0.239247311827957,0.221505376344086,0.760752688172043,0.7784946236559139,10.544724249994033,0.2909090909090909
0.2467741935483871,0.25089605734767023,0.7532258064516129,0.7491039426523297,4.235144855003455,0.3
0.27043010752688174,0.24516129032258063,0.7295698924731183,0.7548387096774194,4.572042170999339,0.3090909090909091
0.246415770609319,0.26594982078853047,0.753584229390681,0.7340501792114695,4.572166836005636,0.3181818181818182
