iteration,error_train,error_test,accuracy_train,accuracy_test,time
1,0.7186379928315412,0.7491039426523297,0.28136200716845877,0.25089605734767023,2.5589484340016497
6,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,2.0689158360037254
11,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.618314603998442
16,0.7215053763440861,0.7491039426523297,0.278494623655914,0.25089605734767023,3.647820561003755
21,0.2754480286738351,0.24874551971326164,0.7245519713261649,0.7512544802867384,3.5894911310024327
26,0.682258064516129,0.7089605734767025,0.317741935483871,0.2910394265232975,3.6981444339908194
31,0.4442652329749104,0.45089605734767024,0.5557347670250896,0.5491039426523298,3.592515626005479
36,0.27114695340501793,0.24372759856630824,0.7288530465949821,0.7562724014336918,3.600948181003332
41,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.5250838969950564
46,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.6642633370065596
51,0.2707885304659498,0.24372759856630824,0.7292114695340501,0.7562724014336918,3.5523978560086107
56,0.34068100358422937,0.3025089605734767,0.6593189964157706,0.6974910394265234,3.6747804549959255
61,0.7166666666666667,0.7433691756272401,0.2833333333333333,0.25663082437275986,3.762985594003112
66,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.7695888439920964
71,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.7038913540018257
76,0.6116487455197133,0.6444444444444445,0.38835125448028673,0.35555555555555557,2.082432537994464
81,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.6907583529973635
86,0.33620071684587816,0.3068100358422939,0.6637992831541218,0.6931899641577061,3.7607469939976
91,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.71599450299982
96,0.546594982078853,0.5949820788530465,0.45340501792114696,0.4050179211469534,3.7857535450020805
101,0.5792114695340502,0.5627240143369175,0.42078853046594983,0.43727598566308246,3.7607211290014675
106,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,2.5768132289958885
111,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,2.2720258950139396
116,0.728673835125448,0.7541218637992831,0.27132616487455197,0.24587813620071686,3.8353481910016853
121,0.6084229390681004,0.614336917562724,0.39157706093189965,0.385663082437276,3.8214596180041553
126,0.2722222222222222,0.24516129032258063,0.7277777777777777,0.7548387096774194,3.641438455990283
131,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.7720671389979543
136,0.5422939068100359,0.5189964157706093,0.45770609318996414,0.48100358422939066,3.6278898300079163
141,0.6245519713261649,0.6172043010752688,0.37544802867383514,0.3827956989247312,3.516446335997898
146,0.6967741935483871,0.7118279569892473,0.3032258064516129,0.28817204301075267,3.6934376769931987
151,0.510931899641577,0.5189964157706093,0.48906810035842296,0.48100358422939066,3.6170426919998135
156,0.5252688172043011,0.5419354838709678,0.4747311827956989,0.45806451612903226,3.7056918470043456
161,0.2738351254480287,0.24659498207885305,0.7261648745519713,0.753405017921147,3.703599305008538
166,0.7181003584229391,0.7448028673835125,0.28189964157706093,0.25519713261648747,3.6187270730006276
171,0.5548387096774193,0.5827956989247312,0.44516129032258067,0.4172043010752688,3.5567533709981944
176,0.2722222222222222,0.24516129032258063,0.7277777777777777,0.7548387096774194,3.6436819910013583
181,0.7207885304659498,0.7519713261648745,0.2792114695340502,0.24802867383512545,3.7106187070021406
186,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.6712451750063337
191,0.2948028673835125,0.2810035842293907,0.7051971326164874,0.7189964157706094,3.6791258129960625
196,0.7215053763440861,0.7448028673835125,0.278494623655914,0.25519713261648747,3.755707574993721
201,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.737537572000292
206,0.5806451612903226,0.5627240143369175,0.41935483870967744,0.43727598566308246,3.6894464569923002
211,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.581627665000269
216,0.7292114695340501,0.7555555555555555,0.2707885304659498,0.24444444444444444,3.7073042320116656
221,0.2731182795698925,0.24731182795698925,0.7268817204301076,0.7526881720430108,3.887952878998476
226,0.7263440860215054,0.7562724014336918,0.27365591397849465,0.24372759856630824,3.8529814570065355
231,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.861775231998763
236,0.7263440860215054,0.7541218637992831,0.27365591397849465,0.24587813620071686,3.6996510140015744
241,0.6155913978494624,0.6150537634408603,0.3844086021505376,0.3849462365591398,3.710666803002823
246,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,3.6868403510015924
251,0.27813620071684586,0.25017921146953404,0.7218637992831541,0.749820788530466,3.713063722010702
256,0.6845878136200717,0.6967741935483871,0.3154121863799283,0.3032258064516129,3.660589808001532
261,0.2793906810035842,0.25663082437275986,0.7206093189964158,0.7433691756272401,3.603152719006175
266,0.31057347670250895,0.2917562724014337,0.689426523297491,0.7082437275985664,3.5163255910010776
271,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.6898439960059477
