iteration,error_train,error_test,accuracy_train,accuracy_test,time
1,0.24157706093189965,0.22508960573476702,0.7584229390681003,0.774910394265233,36.583870006
6,0.2530465949820789,0.25519713261648747,0.7469534050179212,0.7448028673835125,32.209697033
11,0.24802867383512545,0.23010752688172043,0.7519713261648745,0.7698924731182796,32.35539941800002
16,0.24121863799283155,0.25519713261648747,0.7587813620071685,0.7448028673835125,21.86389755799999
21,0.23691756272401435,0.23369175627240144,0.7630824372759857,0.7663082437275985,18.032889678999993
26,0.2553763440860215,0.25089605734767023,0.7446236559139785,0.7491039426523297,18.97790237000001
31,0.2410394265232975,0.23512544802867383,0.7589605734767025,0.7648745519713261,37.515067380000005
36,0.23727598566308244,0.25448028673835127,0.7627240143369176,0.7455197132616488,25.901536747000023
41,0.2360215053763441,0.23942652329749103,0.763978494623656,0.760573476702509,25.47119752399999
46,0.23799283154121864,0.23225806451612904,0.7620071684587814,0.7677419354838709,21.465316551
51,0.24516129032258063,0.25519713261648747,0.7548387096774194,0.7448028673835125,18.84554138499999
56,0.2517921146953405,0.26881720430107525,0.7482078853046595,0.7311827956989247,18.878767106999987
61,0.2342293906810036,0.23655913978494625,0.7657706093189964,0.7634408602150538,30.53612685799999
66,0.24014336917562723,0.23512544802867383,0.7598566308243727,0.7648745519713261,35.632320848999996
71,0.25089605734767023,0.25089605734767023,0.7491039426523297,0.7491039426523297,17.45673813000002
76,0.2460573476702509,0.23799283154121864,0.7539426523297491,0.7620071684587814,22.636974831000032
81,0.24767025089605735,0.24874551971326164,0.7523297491039427,0.7512544802867384,31.671522836999998
86,0.23476702508960573,0.26666666666666666,0.7652329749103942,0.7333333333333333,29.305376421999995
91,0.24193548387096775,0.23440860215053763,0.7580645161290323,0.7655913978494624,31.704984290000084
96,0.23727598566308244,0.23297491039426524,0.7627240143369176,0.7670250896057348,22.64322593600002
101,0.23100358422939068,0.22293906810035843,0.7689964157706093,0.7770609318996415,28.070537085999945
106,0.2530465949820789,0.24229390681003585,0.7469534050179212,0.7577060931899642,27.89931001900004
111,0.2345878136200717,0.24444444444444444,0.7654121863799284,0.7555555555555555,43.33825502900004
116,0.24623655913978496,0.23799283154121864,0.7537634408602151,0.7620071684587814,20.05944487299996
121,0.22401433691756273,0.22078853046594982,0.7759856630824373,0.7792114695340502,14.826077871000052
126,0.2568100358422939,0.23225806451612904,0.7431899641577061,0.7677419354838709,21.371005975999992
131,0.22849462365591397,0.2164874551971326,0.771505376344086,0.7835125448028674,16.14895301599995
136,0.2503584229390681,0.25448028673835127,0.7496415770609319,0.7455197132616488,18.71692411999993
141,0.253584229390681,0.23512544802867383,0.746415770609319,0.7648745519713261,22.60457260999999
146,0.2489247311827957,0.24731182795698925,0.7510752688172043,0.7526881720430108,26.497251096000014
151,0.24444444444444444,0.2222222222222222,0.7555555555555555,0.7777777777777778,27.12253045500006
156,0.24283154121863798,0.23584229390681002,0.757168458781362,0.76415770609319,29.398518930000023
161,0.23548387096774193,0.22365591397849463,0.7645161290322581,0.7763440860215054,20.303774216999955
166,0.2514336917562724,0.2623655913978495,0.7485663082437276,0.7376344086021506,18.913989081000068
171,0.24838709677419354,0.23440860215053763,0.7516129032258064,0.7655913978494624,26.58364502099994
176,0.2530465949820789,0.25591397849462366,0.7469534050179212,0.7440860215053764,14.858290968999995
181,0.24050179211469533,0.25519713261648747,0.7594982078853046,0.7448028673835125,45.93242301000009
186,0.246415770609319,0.24587813620071686,0.753584229390681,0.7541218637992831,26.56198706300006
191,0.23853046594982077,0.22437275985663083,0.7614695340501793,0.7756272401433691,31.611531290999892
196,0.24749103942652328,0.23154121863799282,0.7525089605734767,0.7684587813620072,42.03753530499989
201,0.2446236559139785,0.22724014336917564,0.7553763440860215,0.7727598566308244,22.719793484999855
206,0.24121863799283155,0.23870967741935484,0.7587813620071685,0.7612903225806451,16.14684784400015
211,0.22670250896057348,0.22939068100358423,0.7732974910394266,0.7706093189964157,20.03551510200009
216,0.2525089605734767,0.24086021505376345,0.7474910394265233,0.7591397849462366,20.00264402100015
221,0.23709677419354838,0.24444444444444444,0.7629032258064516,0.7555555555555555,21.309880726000074
226,0.24982078853046594,0.25448028673835127,0.750179211469534,0.7455197132616488,26.503130551999902
231,0.24247311827956988,0.21863799283154123,0.7575268817204301,0.7813620071684588,22.672342601000082
236,0.2439068100358423,0.23225806451612904,0.7560931899641578,0.7677419354838709,14.83293328600007
241,0.246415770609319,0.23225806451612904,0.753584229390681,0.7677419354838709,26.489718535000065
246,0.2413978494623656,0.23154121863799282,0.7586021505376344,0.7684587813620072,16.145668849000003
251,0.25053763440860216,0.24587813620071686,0.7494623655913979,0.7541218637992831,20.168315454000094
256,0.25197132616487455,0.2630824372759857,0.7480286738351255,0.7369175627240143,22.58026522199998
261,0.2510752688172043,0.23727598566308244,0.7489247311827957,0.7627240143369176,16.290264339000032
266,0.23584229390681002,0.24444444444444444,0.76415770609319,0.7555555555555555,25.360626376000027
271,0.2413978494623656,0.25161290322580643,0.7586021505376344,0.7483870967741936,24.075172372999987
276,0.2342293906810036,0.23870967741935484,0.7657706093189964,0.7612903225806451,26.770759992999956
281,0.2403225806451613,0.22365591397849463,0.7596774193548387,0.7763440860215054,14.97349366200001
286,0.2446236559139785,0.24874551971326164,0.7553763440860215,0.7512544802867384,18.86163079799985
291,0.2557347670250896,0.24802867383512545,0.7442652329749104,0.7519713261648745,17.65229390200011
296,0.2306451612903226,0.23225806451612904,0.7693548387096775,0.7677419354838709,18.89998527900002
301,0.2302867383512545,0.22724014336917564,0.7697132616487455,0.7727598566308244,24.209394472999975
306,0.24802867383512545,0.24372759856630824,0.7519713261648745,0.7562724014336918,38.819261594999944
311,0.2492831541218638,0.23082437275985662,0.7507168458781363,0.7691756272401433,21.67675551299999
316,0.25125448028673836,0.23225806451612904,0.7487455197132616,0.7677419354838709,24.149356687999898
321,0.24587813620071686,0.25878136200716845,0.7541218637992831,0.7412186379928315,17.647897832999888
326,0.23745519713261648,0.22795698924731184,0.7625448028673835,0.7720430107526882,25.638766312999905
331,0.24444444444444444,0.22652329749103942,0.7555555555555555,0.7734767025089606,32.15086390100009
336,0.25,0.23440860215053763,0.75,0.7655913978494624,25.54959255000017
341,0.2453405017921147,0.25878136200716845,0.7546594982078854,0.7412186379928315,15.038429455999903
346,0.2492831541218638,0.2537634408602151,0.7507168458781363,0.7462365591397849,17.62167642899999
351,0.23763440860215054,0.221505376344086,0.7623655913978494,0.7784946236559139,30.811116057999925
