iteration,error_train,error_test,accuracy_train,accuracy_test,time
1,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,0.10994645999744534
6,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,0.2411582110071322
11,0.7197132616487455,0.749820788530466,0.2802867383512545,0.25017921146953404,0.4144785920070717
16,0.5055555555555555,0.513978494623656,0.49444444444444446,0.4860215053763441,0.5894679599878145
21,0.6200716845878136,0.614336917562724,0.37992831541218636,0.385663082437276,0.8457031949947122
26,0.2709677419354839,0.24444444444444444,0.7290322580645161,0.7555555555555555,0.9657080680044601
31,0.728673835125448,0.7548387096774194,0.27132616487455197,0.24516129032258063,1.17968984899926
36,0.6066308243727598,0.6494623655913978,0.39336917562724016,0.35053763440860214,1.3110741830023471
41,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,1.394050489005167
46,0.5933691756272401,0.6157706093189964,0.4066308243727599,0.3842293906810036,1.7084900139889214
51,0.29283154121863797,0.26810035842293906,0.707168458781362,0.7318996415770609,1.8222571719961707
56,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,2.03829812600452
61,0.543189964157706,0.5254480286738351,0.4568100358422939,0.4745519713261649,2.247919411995099
66,0.610931899641577,0.6336917562724015,0.38906810035842293,0.36630824372759857,2.340525235005771
71,0.2910394265232975,0.2616487455197133,0.7089605734767025,0.7383512544802867,2.4479204439994646
76,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,2.9107148379989667
81,0.3265232974910394,0.2996415770609319,0.6734767025089605,0.7003584229390681,1.6650398229976417
86,0.27365591397849465,0.24444444444444444,0.7263440860215054,0.7555555555555555,3.299444672986283
91,0.3202508960573477,0.3103942652329749,0.6797491039426523,0.6896057347670251,3.1919325690105325
96,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,3.4647905780002475
101,0.28279569892473116,0.2989247311827957,0.7172043010752688,0.7010752688172043,3.24212070700014
106,0.3906810035842294,0.385663082437276,0.6093189964157706,0.614336917562724,3.889619276000303
111,0.6924731182795699,0.7189964157706094,0.30752688172043013,0.2810035842293907,4.155425096992985
116,0.6435483870967742,0.6451612903225806,0.3564516129032258,0.3548387096774194,4.302036687004147
121,0.2870967741935484,0.2616487455197133,0.7129032258064516,0.7383512544802867,4.485094529009075
126,0.3295698924731183,0.3318996415770609,0.6704301075268817,0.668100358422939,4.555751448002411
131,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,4.73335109501204
136,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,5.145277212999645
141,0.7290322580645161,0.7562724014336918,0.2709677419354839,0.24372759856630824,2.787753734999569
146,0.3772401433691756,0.392831541218638,0.6227598566308243,0.607168458781362,5.346288911008742
151,0.2792114695340502,0.25734767025089605,0.7207885304659498,0.7426523297491039,5.604854826990049
156,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,5.898415986011969
161,0.2716845878136201,0.24516129032258063,0.72831541218638,0.7548387096774194,5.865100634007831
166,0.6005376344086022,0.6243727598566309,0.39946236559139786,0.3756272401433692,6.290168403997086
171,0.32759856630824374,0.3003584229390681,0.6724014336917563,0.6996415770609319,6.257036713010166
176,0.32598566308243726,0.2903225806451613,0.6740143369175627,0.7096774193548387,6.530648078987724
181,0.4666666666666667,0.4845878136200717,0.5333333333333333,0.5154121863799284,6.604710971005261
186,0.2675627240143369,0.26594982078853047,0.7324372759856631,0.7340501792114695,6.807261535010184
191,0.6844086021505377,0.7118279569892473,0.3155913978494624,0.28817204301075267,6.082760542005417
196,0.32759856630824374,0.3204301075268817,0.6724014336917563,0.6795698924731183,7.147638458991423
201,0.3403225806451613,0.31899641577060933,0.6596774193548387,0.6810035842293907,7.328777863003779
206,0.728673835125448,0.7555555555555555,0.27132616487455197,0.24444444444444444,7.558218819001922
211,0.29516129032258065,0.27025089605734764,0.7048387096774194,0.7297491039426524,5.588321776987868
216,0.2747311827956989,0.25949820788530464,0.725268817204301,0.7405017921146954,8.133880573994247
221,0.335663082437276,0.3240143369175627,0.6643369175627241,0.6759856630824372,8.174654369009659
226,0.2709677419354839,0.24372759856630824,0.7290322580645161,0.7562724014336918,8.244795361999422
231,0.7349462365591398,0.7541218637992831,0.26505376344086023,0.24587813620071686,8.230044668001938
236,0.6940860215053763,0.7168458781362007,0.30591397849462365,0.2831541218637993,8.746211933990708
