error_train,error_test,accuracy_train,accuracy_test,time,decay
0.3347670250896057,0.3326164874551971,0.6652329749103942,0.6673835125448029,0.245904032010003,0.1
0.2614695340501792,0.2616487455197133,0.7385304659498207,0.7383512544802867,0.2296600529953139,0.1152542372881356
0.6166666666666667,0.5971326164874552,0.38333333333333336,0.4028673835125448,0.2323258060059743,0.13050847457627118
0.29623655913978497,0.26738351254480286,0.703763440860215,0.7326164874551971,0.23371989499719348,0.14576271186440679
0.3872759856630824,0.382078853046595,0.6127240143369176,0.617921146953405,0.22726101499574725,0.1610169491525424
0.46792114695340503,0.4845878136200717,0.532078853046595,0.5154121863799284,0.21817983200890012,0.17627118644067796
0.45197132616487457,0.4243727598566308,0.5480286738351254,0.5756272401433692,0.2066296380071435,0.19152542372881357
0.3265232974910394,0.3311827956989247,0.6734767025089605,0.6688172043010753,0.22468021699751262,0.20677966101694917
0.3503584229390681,0.31756272401433694,0.649641577060932,0.6824372759856631,0.23531858999922406,0.22203389830508474
0.5129032258064516,0.5275985663082438,0.4870967741935484,0.47240143369175625,0.20871930501016323,0.23728813559322035
0.4172043010752688,0.43010752688172044,0.5827956989247312,0.5698924731182796,0.23712265999347437,0.25254237288135595
0.34910394265232975,0.31899641577060933,0.6508960573476702,0.6810035842293907,0.23459303099662066,0.2677966101694915
0.27043010752688174,0.2530465949820789,0.7295698924731183,0.7469534050179212,0.25162113999249414,0.2830508474576271
0.2792114695340502,0.2731182795698925,0.7207885304659498,0.7268817204301076,0.22788348799804226,0.2983050847457627
0.40376344086021504,0.403584229390681,0.5962365591397849,0.596415770609319,0.22098800500680227,0.31355932203389836
0.3256272401433692,0.3139784946236559,0.6743727598566308,0.6860215053763441,0.23801805800758302,0.32881355932203393
0.41559139784946236,0.3985663082437276,0.5844086021505376,0.6014336917562724,0.22487354300392326,0.3440677966101695
0.33440860215053764,0.2982078853046595,0.6655913978494624,0.7017921146953405,0.23829968299833126,0.3593220338983051
0.6191756272401434,0.5906810035842294,0.38082437275985664,0.40931899641577063,0.22755421299370937,0.37457627118644066
0.3697132616487455,0.3225806451612903,0.6302867383512545,0.6774193548387096,0.2309487460006494,0.38983050847457634
0.30448028673835126,0.3032258064516129,0.6955197132616487,0.6967741935483871,0.22104536500410177,0.4050847457627119
0.5168458781362008,0.5369175627240144,0.4831541218637993,0.46308243727598564,0.22502453799825162,0.4203389830508475
0.35627240143369177,0.36129032258064514,0.6437275985663082,0.6387096774193548,0.23787817600532435,0.43559322033898307
0.40448028673835124,0.3878136200716846,0.5955197132616488,0.6121863799283154,0.22465175000252202,0.45084745762711864
0.42240143369175626,0.4078853046594982,0.5775985663082437,0.5921146953405018,0.22652827799902298,0.4661016949152542
0.3844086021505376,0.3899641577060932,0.6155913978494624,0.6100358422939068,0.21853312400344294,0.4813559322033899
0.45268817204301076,0.44157706093189963,0.5473118279569893,0.5584229390681004,0.23659603099804372,0.4966101694915255
0.30878136200716844,0.3161290322580645,0.6912186379928316,0.6838709677419355,0.23908557600225322,0.511864406779661
0.3697132616487455,0.33978494623655914,0.6302867383512545,0.6602150537634408,0.2331055539980298,0.5271186440677966
0.44695340501792113,0.45734767025089607,0.5530465949820789,0.5426523297491039,0.22073483299755026,0.5423728813559322
0.42777777777777776,0.41863799283154124,0.5722222222222222,0.5813620071684588,0.21560126000258606,0.5576271186440678
0.32831541218637994,0.31899641577060933,0.6716845878136201,0.6810035842293907,0.24856054999690969,0.5728813559322035
0.3055555555555556,0.2752688172043011,0.6944444444444444,0.7247311827956989,0.2347873599937884,0.588135593220339
0.3116487455197133,0.27598566308243727,0.6883512544802868,0.7240143369175627,0.24119524999696296,0.6033898305084746
0.4435483870967742,0.45017921146953405,0.5564516129032258,0.5498207885304659,0.2450517539982684,0.6186440677966102
0.328673835125448,0.33046594982078853,0.671326164874552,0.6695340501792114,0.255418575994554,0.6338983050847458
0.43154121863799283,0.41935483870967744,0.5684587813620071,0.5806451612903226,0.16500492799968924,0.6491525423728813
0.364336917562724,0.36415770609319,0.635663082437276,0.63584229390681,0.2387423430045601,0.6644067796610169
0.3333333333333333,0.31971326164874553,0.6666666666666666,0.6802867383512545,0.24001202300132718,0.6796610169491526
0.29157706093189967,0.2831541218637993,0.7084229390681004,0.7168458781362007,0.24351888899400365,0.6949152542372882
0.28691756272401436,0.26523297491039427,0.7130824372759856,0.7347670250896058,0.24510475700662937,0.7101694915254237
0.34068100358422937,0.3254480286738351,0.6593189964157706,0.6745519713261648,0.239135786992847,0.7254237288135593
